,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other
other_13291,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,4.95
other_13292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,7.82
other_13293,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,8.49
other_13294,0.01,0.02,0.00,0.00,0.05,0.01,0.32,0.41,0.03,6.64,2.51
other_13295,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.73,7.68
other_13296,0.05,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,9.91
other_13297,1.19,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,8.78
other_13298,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,9.33
other_13299,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,9.47
other_13300,2.56,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,7.41
other_13301,1.77,0.01,0.05,0.03,0.07,0.34,0.35,0.94,0.02,0.31,6.11
other_13302,1.10,0.00,0.00,0.05,0.01,0.00,0.01,0.00,0.02,0.00,8.81
other_13303,1.28,0.02,0.02,0.55,0.06,0.01,0.02,0.00,0.00,1.15,6.89
other_13304,6.33,0.01,0.00,0.00,0.10,0.00,0.00,0.00,0.01,0.07,3.48
other_13305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_13306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13307,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,9.86
other_13308,0.19,0.00,1.47,0.02,0.01,0.01,0.01,3.83,0.00,0.27,4.19
other_13309,1.93,0.06,0.00,0.02,0.00,1.08,0.00,0.00,0.00,0.28,6.63
other_13310,1.73,0.03,0.00,0.01,0.00,1.19,0.00,0.00,0.00,0.43,6.61
other_13311,0.74,0.31,0.00,0.01,0.00,0.41,0.00,0.00,0.00,0.08,8.44
other_13312,1.89,0.04,0.00,0.02,0.00,1.24,0.00,0.00,0.00,0.18,6.63
other_13313,1.50,0.01,0.04,0.09,0.00,0.86,0.02,0.00,0.00,0.01,7.46
other_13314,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,9.96
other_13315,1.10,0.00,0.01,0.03,0.00,0.30,0.02,0.00,0.00,0.01,8.54
other_13316,0.81,0.00,0.00,0.03,0.00,3.03,0.00,0.00,0.00,0.02,6.09
other_13317,7.09,0.00,0.00,0.74,0.00,0.21,0.01,0.02,0.00,0.03,1.90
other_13318,8.15,0.00,0.00,0.71,0.00,0.04,0.05,0.00,0.00,0.01,1.04
other_13319,1.15,0.00,0.05,0.03,0.00,0.40,0.01,0.00,0.00,0.45,7.92
other_13320,2.06,0.03,0.00,0.02,0.00,1.04,0.00,0.00,0.00,0.13,6.72
other_13321,1.78,0.03,0.00,0.02,0.00,0.94,0.00,0.00,0.00,0.27,6.97
other_13322,2.09,0.04,0.00,0.70,0.00,0.04,0.01,0.00,0.00,0.13,6.99
other_13323,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13324,0.09,0.01,0.04,0.05,0.07,0.00,0.03,0.01,0.01,4.99,4.70
other_13325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_13326,0.00,0.03,1.01,0.00,0.00,0.00,0.01,0.00,0.00,0.18,8.77
other_13327,0.00,0.04,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.09,8.77
other_13328,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,4.87
other_13329,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.07,9.91
other_13330,0.02,0.19,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,9.77
other_13331,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13332,0.32,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.22,9.45
other_13333,0.02,0.07,0.03,0.24,0.00,0.25,0.16,0.00,0.01,2.63,6.60
other_13334,0.16,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.30,9.53
other_13335,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.01,9.87
other_13336,0.00,0.00,0.00,0.21,0.00,7.05,0.00,0.00,0.00,1.29,1.44
other_13337,0.06,0.00,0.55,1.57,0.27,0.00,0.00,0.01,0.00,1.50,6.03
other_13338,0.14,0.00,0.21,3.70,0.29,0.00,0.01,0.01,0.00,1.54,4.10
other_13339,0.32,0.00,0.08,0.47,0.01,0.01,0.00,0.09,0.00,0.40,8.62
other_13340,0.41,0.00,0.38,0.10,0.01,0.05,0.00,0.42,0.00,0.20,8.44
other_13341,0.31,0.00,0.13,1.39,0.05,1.46,0.00,0.02,0.00,0.12,6.51
other_13342,0.99,0.00,0.14,0.12,0.01,0.03,0.00,1.45,0.00,0.48,6.78
other_13343,0.01,0.00,0.02,2.23,0.71,0.18,0.00,0.00,0.00,0.01,6.83
other_13344,0.40,0.00,0.08,1.21,0.04,1.43,0.00,0.02,0.00,0.16,6.66
other_13345,0.15,0.00,0.06,1.68,0.08,1.35,0.00,0.01,0.00,0.24,6.41
other_13346,0.07,0.00,0.04,0.09,0.01,0.03,0.00,0.00,0.00,0.05,9.71
other_13347,0.00,0.21,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.05,9.46
other_13348,0.13,0.00,0.25,0.27,0.06,0.01,0.00,0.00,0.00,0.05,9.23
other_13349,0.64,0.00,0.16,0.09,0.01,0.03,0.00,1.44,0.00,0.06,7.57
other_13350,0.66,0.00,0.18,0.14,0.02,0.03,0.00,1.40,0.00,0.34,7.22
other_13351,0.60,0.00,0.18,2.30,0.04,0.02,0.00,0.96,0.00,0.17,5.73
other_13352,0.02,0.00,0.17,0.95,0.11,0.02,0.00,0.26,0.00,0.01,8.47
other_13353,0.41,0.00,0.03,1.03,0.01,1.70,0.00,0.01,0.00,0.11,6.69
other_13354,0.16,0.00,0.05,1.49,0.05,1.01,0.00,0.01,0.00,0.28,6.95
other_13355,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,7.63
other_13356,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.16,9.81
other_13357,0.29,0.00,0.03,0.52,0.07,0.01,0.00,0.00,0.00,0.11,8.96
other_13358,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.02,6.97
other_13359,0.42,0.00,0.17,0.29,0.00,0.28,0.00,0.19,0.00,0.21,8.44
other_13360,0.67,0.00,0.14,0.09,0.02,0.04,0.00,1.57,0.00,0.06,7.40
other_13361,0.01,0.00,0.04,0.02,0.06,0.36,0.00,0.00,0.00,0.02,9.51
other_13362,0.20,0.00,0.01,0.03,0.03,0.88,0.00,0.01,0.00,2.01,6.84
other_13363,0.50,0.00,0.02,0.46,0.00,0.16,0.00,0.01,0.00,0.29,8.57
other_13364,0.01,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,3.54,6.42
other_13365,0.00,0.01,0.20,0.10,0.01,0.05,0.01,0.01,0.00,0.23,9.39
other_13366,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03,9.93
other_13367,0.00,0.00,0.19,0.04,0.00,0.02,0.00,0.00,0.00,0.20,9.54
other_13368,0.01,0.00,0.34,0.04,0.00,0.38,0.03,0.01,0.00,1.11,8.07
other_13369,0.00,0.00,0.23,0.00,0.00,0.00,0.01,0.00,0.00,1.48,8.27
other_13370,0.01,0.00,0.02,0.04,0.00,0.06,0.00,0.00,0.00,0.12,9.75
other_13371,0.00,0.01,0.40,0.08,0.00,0.17,0.00,0.00,0.00,0.08,9.26
other_13372,0.00,0.00,0.04,0.01,0.01,0.22,0.01,0.00,0.00,0.05,9.66
other_13373,0.01,0.01,0.10,0.01,0.03,0.28,0.02,0.00,0.00,0.41,9.12
other_13374,0.01,0.00,0.04,0.02,0.00,0.10,0.00,0.00,0.00,0.07,9.75
other_13375,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.11,9.85
other_13376,0.01,0.00,0.62,0.19,0.01,0.03,0.00,0.01,0.00,0.13,9.02
other_13377,1.64,0.00,0.03,0.01,0.01,0.15,0.01,0.03,0.00,1.83,6.30
other_13378,2.04,0.00,0.03,0.01,0.01,0.13,0.02,0.06,0.00,1.98,5.72
other_13379,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.04,9.93
other_13380,0.01,0.00,0.68,0.15,0.00,0.02,0.00,0.01,0.00,0.11,9.02
other_13381,0.00,0.00,0.54,0.05,0.00,0.04,0.00,0.00,0.00,0.16,9.20
other_13382,0.00,0.00,0.01,0.00,0.00,0.07,0.00,0.00,0.00,0.02,9.90
other_13383,0.10,0.00,0.35,0.27,0.03,0.08,0.03,0.01,0.00,3.52,5.60
other_13384,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,8.46
other_13385,0.00,0.01,0.32,0.05,0.01,0.07,0.00,0.03,0.00,0.31,9.20
other_13386,0.00,0.00,0.36,0.12,0.01,0.05,0.00,0.01,0.00,0.19,9.25
other_13387,0.00,0.00,0.43,0.07,0.00,0.04,0.00,0.00,0.00,0.13,9.32
other_13388,0.00,0.00,0.01,0.00,0.01,0.02,0.00,0.00,0.00,0.02,9.95
other_13389,0.01,0.01,0.28,0.13,0.02,0.11,0.01,0.04,0.00,0.20,9.20
other_13390,0.01,0.04,0.01,0.03,0.01,0.38,0.02,0.00,0.00,0.69,8.80
other_13391,0.01,0.02,0.08,0.01,0.02,0.57,0.02,0.00,0.00,0.59,8.68
other_13392,0.01,0.04,0.02,0.03,0.02,0.75,0.02,0.00,0.00,1.08,8.03
other_13393,0.07,0.04,0.15,0.15,0.03,0.92,0.04,0.01,0.01,0.70,7.89
other_13394,0.00,0.02,0.18,0.01,0.05,0.75,0.02,0.02,0.00,1.21,7.75
other_13395,0.01,0.03,0.02,0.02,0.02,0.47,0.01,0.00,0.00,0.27,9.15
other_13396,0.00,0.01,0.04,0.00,0.04,0.66,0.01,0.00,0.00,0.60,8.62
other_13397,0.02,0.04,0.05,0.04,0.03,1.20,0.03,0.00,0.01,0.88,7.72
other_13398,0.00,0.00,0.35,0.05,0.00,0.02,0.00,0.01,0.00,0.18,9.39
other_13399,0.00,0.00,0.53,0.07,0.00,0.05,0.00,0.00,0.00,0.16,9.18
other_13400,0.00,0.00,0.12,0.01,0.00,0.34,0.01,0.00,0.00,0.18,9.33
other_13401,0.00,0.00,0.01,0.00,0.00,0.05,0.00,0.00,0.00,0.03,9.91
other_13402,0.01,0.00,0.61,0.23,0.00,0.01,0.00,0.00,0.00,0.33,8.79
other_13403,2.13,0.00,0.01,0.01,0.01,0.14,0.01,0.06,0.00,1.90,5.73
other_13404,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.04,9.91
other_13405,2.30,0.00,0.02,0.01,0.00,0.10,0.01,0.06,0.00,1.51,5.98
other_13406,2.12,0.00,0.02,0.01,0.01,0.16,0.01,0.05,0.00,1.72,5.92
other_13407,2.60,0.00,0.01,0.00,0.00,0.06,0.00,0.07,0.00,1.46,5.78
other_13408,1.82,0.00,0.02,0.00,0.00,0.22,0.01,0.04,0.00,1.88,5.99
other_13409,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.03,9.93
other_13410,0.00,0.00,0.35,0.00,0.00,0.01,0.02,0.00,0.00,0.95,8.66
other_13411,0.00,0.00,0.28,0.04,0.00,0.02,0.00,0.00,0.00,0.13,9.52
other_13412,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13413,0.49,0.00,0.03,8.68,0.12,0.00,0.56,0.01,0.00,0.01,0.09
other_13414,2.41,0.01,0.48,1.61,0.09,0.01,2.84,0.37,0.00,0.06,2.12
other_13415,1.93,0.00,0.49,1.44,0.04,0.03,2.93,0.89,0.00,0.06,2.18
other_13416,1.28,0.01,1.38,1.50,0.06,0.01,2.69,0.46,0.00,0.04,2.58
other_13417,0.01,0.00,0.06,6.85,2.07,0.00,0.93,0.00,0.00,0.00,0.08
other_13418,0.00,0.00,0.01,9.43,0.48,0.00,0.03,0.00,0.00,0.00,0.05
other_13419,0.04,0.00,0.03,0.46,6.06,0.00,2.31,0.18,0.01,0.00,0.91
other_13420,3.63,0.00,0.03,3.66,0.82,0.01,0.05,0.00,0.00,0.02,1.79
other_13421,0.00,0.00,1.25,0.39,0.38,0.02,3.59,0.00,0.00,1.02,3.34
other_13422,0.00,0.00,0.01,9.34,0.34,0.00,0.29,0.00,0.00,0.00,0.02
other_13423,3.43,0.01,0.00,3.88,1.37,0.00,0.69,0.01,0.00,0.11,0.51
other_13424,0.00,0.00,0.01,9.28,0.29,0.00,0.41,0.00,0.00,0.00,0.01
other_13425,1.08,0.00,1.46,1.80,0.03,0.00,2.75,0.63,0.00,0.04,2.19
other_13426,0.76,0.01,0.19,2.80,0.15,0.01,3.08,0.21,0.00,0.09,2.71
other_13427,0.85,0.00,0.32,2.21,0.28,0.01,2.93,0.12,0.00,0.06,3.22
other_13428,0.15,0.00,0.01,0.00,0.00,0.13,0.04,0.63,0.00,0.13,8.92
other_13429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00
other_13430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,8.89
other_13431,0.05,0.00,0.06,0.02,0.01,0.02,0.30,0.00,0.00,0.76,8.78
other_13432,0.14,0.00,0.07,0.04,0.01,0.07,0.31,0.00,0.00,1.98,7.37
other_13433,1.44,0.00,0.00,1.05,0.41,0.00,0.03,0.01,0.00,1.07,5.99
other_13434,3.55,0.00,0.00,0.18,0.00,0.12,0.02,0.00,0.00,0.01,6.12
other_13435,1.48,0.00,0.02,4.82,0.47,0.03,1.71,0.02,0.00,0.04,1.42
other_13436,1.30,0.00,0.09,3.26,0.46,0.05,3.01,0.04,0.01,0.09,1.71
other_13437,0.00,0.01,0.00,0.00,0.12,0.06,0.00,0.00,0.00,0.03,9.78
other_13438,0.00,0.06,0.00,0.00,0.28,0.26,0.00,0.01,0.00,0.03,9.35
other_13439,0.10,0.00,0.02,0.03,0.04,0.00,0.22,5.04,0.00,0.01,4.55
other_13440,0.71,0.07,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,9.19
other_13441,0.01,0.03,0.05,0.17,0.04,0.06,0.02,0.00,0.00,1.07,8.55
other_13442,0.00,0.00,0.10,0.04,0.01,0.00,0.01,0.00,0.00,0.35,9.50
other_13443,0.00,0.02,1.58,0.11,0.02,0.01,0.02,0.00,0.00,0.35,7.88
other_13444,0.00,0.02,1.07,0.27,0.02,0.01,0.02,0.00,0.00,0.29,8.29
other_13445,0.03,0.01,0.00,0.00,0.00,0.01,0.08,0.00,0.00,0.08,9.79
other_13446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13448,0.15,0.00,0.00,0.19,0.00,0.01,0.00,0.00,0.00,2.70,6.94
other_13449,0.01,0.00,0.00,0.00,0.00,0.01,0.46,0.00,0.00,0.39,9.12
other_13450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,9.91
other_13451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13452,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,9.98
other_13453,0.24,0.00,2.58,1.54,1.12,0.00,3.93,0.21,0.02,0.01,0.35
other_13454,0.22,0.00,2.98,0.94,1.54,0.00,3.52,0.31,0.01,0.01,0.47
other_13455,0.02,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.04,9.87
other_13456,0.01,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.35,9.57
other_13457,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13458,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50
other_13459,0.14,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,9.84
other_13460,0.08,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,9.71
other_13461,8.12,0.00,0.78,0.01,0.01,0.11,0.00,0.01,0.00,0.07,0.89
other_13462,7.92,0.00,1.02,0.02,0.00,0.09,0.00,0.00,0.00,0.08,0.87
other_13463,8.16,0.00,0.92,0.02,0.01,0.08,0.00,0.00,0.00,0.06,0.75
other_13464,8.31,0.00,0.99,0.01,0.00,0.05,0.00,0.00,0.00,0.04,0.59
other_13465,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13466,0.00,0.13,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.10,9.76
other_13467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13469,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_13470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13471,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,9.90
other_13472,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13473,0.01,0.00,0.10,0.00,0.00,0.00,0.01,0.00,0.00,0.01,9.87
other_13474,0.01,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.90
other_13475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13476,0.00,0.03,0.01,0.00,0.00,0.00,1.06,5.53,0.02,0.07,3.28
other_13477,7.80,0.00,0.00,0.01,0.01,1.07,0.00,0.01,0.00,0.11,0.98
other_13478,7.81,0.00,0.00,0.01,0.01,1.05,0.00,0.01,0.00,0.12,1.00
other_13479,8.06,0.00,0.00,0.01,0.01,0.97,0.00,0.01,0.00,0.09,0.85
other_13480,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13481,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,9.80
other_13482,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13483,4.98,0.00,0.01,0.00,0.01,0.04,0.00,1.44,0.00,0.03,3.49
other_13484,5.47,0.00,0.01,0.00,0.01,0.03,0.00,1.23,0.00,0.05,3.21
other_13485,5.47,0.00,0.01,0.00,0.01,0.02,0.00,0.67,0.00,0.05,3.77
other_13486,6.26,0.00,0.00,0.00,0.00,0.02,0.00,1.09,0.00,0.03,2.60
other_13487,0.05,0.05,0.02,0.02,0.00,0.02,0.01,0.00,0.00,0.24,9.59
other_13488,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_13489,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13490,0.09,0.00,0.00,0.00,0.03,1.39,0.00,0.01,0.00,3.13,5.35
other_13491,0.04,0.00,0.00,0.00,0.01,1.31,0.00,0.02,0.00,3.45,5.17
other_13492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.08,6.92
other_13493,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13494,1.80,0.00,0.05,0.00,0.00,0.13,0.01,0.00,0.00,5.35,2.66
other_13495,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,7.75
other_13496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13497,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,9.13
other_13498,4.50,0.00,0.00,0.02,0.00,3.34,0.01,0.00,0.00,0.25,1.86
other_13499,4.63,0.00,0.00,0.03,0.00,3.19,0.01,0.00,0.00,0.33,1.79
other_13500,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.05,6.84
other_13501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.24,7.76
other_13502,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_13503,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_13504,0.65,0.00,0.01,0.01,0.00,1.60,0.00,0.01,0.00,0.26,7.47
other_13505,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,1.02,4.92
other_13506,0.66,0.00,0.04,0.03,0.00,0.00,0.05,0.06,0.00,0.51,8.64
other_13507,0.20,0.00,0.04,0.01,0.01,0.00,0.01,0.05,0.00,0.83,8.85
other_13508,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,3.08,6.84
other_13509,1.95,0.00,0.01,0.00,0.00,0.00,0.04,0.01,0.00,0.54,7.45
other_13510,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,6.51,3.41
other_13511,0.26,0.00,0.03,0.00,0.00,0.00,0.00,0.05,0.00,2.14,7.51
other_13512,2.90,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,1.61,5.45
other_13513,1.29,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.00,3.37,5.28
other_13514,2.91,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.33,6.69
other_13515,0.00,0.02,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,9.95
other_13516,0.02,0.00,0.00,0.01,0.00,0.05,0.60,0.00,0.00,1.52,7.78
other_13517,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,5.33,4.63
other_13518,0.01,0.02,0.01,0.00,0.00,0.01,2.45,0.00,0.17,0.78,6.55
other_13519,0.11,0.03,0.02,0.00,0.00,0.01,0.01,0.00,0.00,1.11,8.70
other_13520,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,9.84
other_13521,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.97
other_13522,0.82,0.00,0.05,0.10,0.03,0.44,0.10,0.00,0.00,2.31,6.13
other_13523,0.00,0.00,0.01,0.00,0.56,0.00,0.18,0.00,0.00,0.01,9.23
other_13524,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13525,0.55,0.00,0.54,0.00,0.01,2.77,0.00,0.00,0.00,0.01,6.12
other_13526,0.01,0.01,0.23,0.04,0.98,0.02,0.28,0.01,0.03,2.68,5.71
other_13527,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99
other_13528,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,9.62
other_13529,0.01,0.03,0.00,0.01,0.00,0.00,0.01,0.00,0.00,1.20,8.73
other_13530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,8.87
other_13531,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,9.94
other_13532,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.90,9.07
other_13533,0.09,0.01,0.17,0.00,0.00,0.12,0.03,0.00,0.00,0.06,9.53
other_13534,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,8.23
other_13535,1.72,0.00,0.24,0.00,0.00,0.02,0.00,0.00,0.00,0.13,7.89
other_13536,0.97,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,1.39,7.36
other_13537,0.70,0.00,0.00,0.02,0.00,0.33,0.00,0.09,0.00,0.21,8.64
other_13538,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
other_13539,0.00,0.02,2.45,0.01,0.48,0.01,0.37,0.00,0.00,2.70,3.95
other_13540,9.49,0.00,0.03,0.01,0.05,0.01,0.01,0.00,0.00,0.00,0.39
other_13541,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,9.99
other_13542,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13543,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13544,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13545,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13547,0.14,0.00,0.03,0.01,0.00,0.04,0.03,0.00,0.00,0.07,9.67
other_13548,0.29,0.01,0.07,0.01,0.01,0.10,0.03,0.00,0.00,0.10,9.38
other_13549,0.13,0.00,0.02,0.00,0.00,0.05,0.01,0.00,0.00,0.03,9.75
other_13550,0.04,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.03,9.85
other_13551,0.01,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.02,9.87
other_13552,0.01,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.03,9.85
other_13553,7.17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,2.80
other_13554,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39
other_13555,6.23,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,3.72
other_13556,6.48,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.03,3.46
other_13557,3.31,0.00,0.00,0.01,0.00,0.02,0.02,0.00,0.00,1.11,5.51
other_13558,0.12,0.02,0.00,0.05,0.00,0.24,0.03,0.04,0.00,0.09,9.40
other_13559,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13560,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
other_13561,0.00,0.00,0.04,0.00,0.00,0.00,0.11,0.00,0.00,1.83,8.02
other_13562,8.62,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.35
other_13563,4.84,0.00,1.57,0.01,0.02,0.00,0.19,2.19,0.00,0.02,1.16
other_13564,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,2.78,7.19
other_13565,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,9.97
other_13566,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.98
other_13567,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13568,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,9.97
other_13569,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,9.95
other_13570,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,9.99
other_13571,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,2.41,7.50
other_13572,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,8.32
other_13573,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
other_13574,0.02,0.13,0.10,0.08,0.13,1.94,0.10,0.01,0.01,0.15,7.35
